Day,Day.Of.Week,Date,Page.Loads,Unique.Visits,weather
Sunday,1,9/14/2014,"2,146","1,582",drizzle
Monday,2,9/15/2014,"3,621","2,528",rain
Tuesday,3,9/16/2014,"3,698","2,630",rain
Wednesday,4,9/17/2014,"3,667","2,614",rain
Thursday,5,9/18/2014,"3,316","2,366",rain
Friday,6,9/19/2014,"2,815","1,863",rain
Saturday,7,9/20/2014,"1,658","1,118",rain
Sunday,1,9/21/2014,"2,288","1,656",sun
Monday,2,9/22/2014,"3,638","2,586",rain
Tuesday,3,9/23/2014,"4,462","3,257",rain
Wednesday,4,9/24/2014,"4,414","3,175",sun
Thursday,5,9/25/2014,"4,315","3,029",sun
Friday,6,9/26/2014,"3,323","2,249",sun
Saturday,7,9/27/2014,"1,656","1,180",snow
Sunday,1,9/28/2014,"2,465","1,806",snow
Monday,2,9/29/2014,"4,096","2,873",snow
Tuesday,3,9/30/2014,"4,474","3,032",snow
Wednesday,4,10/1/2014,"4,124","2,849",snow
Thursday,5,10/2/2014,"3,514","2,489",snow
Friday,6,10/3/2014,"3,005","2,097",snow
Saturday,7,10/4/2014,"2,054","1,436",rain
Sunday,1,10/5/2014,"2,847","1,913",rain
Monday,2,10/6/2014,"4,501","3,181",rain
Tuesday,3,10/7/2014,"4,603","3,163",rain
Wednesday,4,10/8/2014,"4,187","3,014",rain
Thursday,5,10/9/2014,"4,343","2,864",rain
Friday,6,10/10/2014,"3,565","2,382",drizzle
Saturday,7,10/11/2014,"2,080","1,457",rain
Sunday,1,10/12/2014,"3,031","2,089",rain
Monday,2,10/13/2014,"4,814","3,339",rain
Tuesday,3,10/14/2014,"5,040","3,604",rain
Wednesday,4,10/15/2014,"5,028","3,515",rain
Thursday,5,10/16/2014,"4,658","3,331",sun
Friday,6,10/17/2014,"3,624","2,477",sun
Saturday,7,10/18/2014,"2,285","1,619",sun
Sunday,1,10/19/2014,"3,454","2,346",sun
Monday,2,10/20/2014,"5,307","3,717",sun
Tuesday,3,10/21/2014,"5,135","3,701",rain
Wednesday,4,10/22/2014,"5,084","3,611",rain
Thursday,5,10/23/2014,"4,650","3,316",rain
Friday,6,10/24/2014,"3,571","2,498",rain
Saturday,7,10/25/2014,"2,354","1,661",rain
Sunday,1,10/26/2014,"3,497","2,508",rain
Monday,2,10/27/2014,"5,294","3,737",rain
Tuesday,3,10/28/2014,"4,643","3,328",rain
Wednesday,4,10/29/2014,"4,596","3,279",drizzle
Thursday,5,10/30/2014,"4,162","3,041",rain
Friday,6,10/31/2014,"2,933","2,007",rain
Saturday,7,11/1/2014,"2,202","1,496",rain
Sunday,1,11/2/2014,"3,083","2,204",sun
Monday,2,11/3/2014,"4,376","3,057",rain
Tuesday,3,11/4/2014,"4,704","3,141",rain
Wednesday,4,11/5/2014,"4,306","3,200",rain
Thursday,5,11/6/2014,"4,178","3,034",sun
Friday,6,11/7/2014,"3,236","2,318",rain
Saturday,7,11/8/2014,"2,010","1,536",rain
Sunday,1,11/9/2014,"2,901","2,141",snow
Monday,2,11/10/2014,"4,754","3,325",sun
Tuesday,3,11/11/2014,"4,417","3,203",snow
Wednesday,4,11/12/2014,"4,535","3,351",snow
Thursday,5,11/13/2014,"4,274","3,194",sun
Friday,6,11/14/2014,"3,382","2,423",rain
Saturday,7,11/15/2014,"2,085","1,488",sun
Sunday,1,11/16/2014,"3,083","2,215",rain
Monday,2,11/17/2014,"4,860","3,559",rain
Tuesday,3,11/18/2014,"4,893","3,570",snow
Wednesday,4,11/19/2014,"4,866","3,544",sun
Thursday,5,11/20/2014,"4,584","3,357",sun
Friday,6,11/21/2014,"3,914","2,750",rain
Saturday,7,11/22/2014,"2,431","1,716",rain
Sunday,1,11/23/2014,"3,157","2,369",rain
Monday,2,11/24/2014,"5,045","3,615",snow
Tuesday,3,11/25/2014,"4,746","3,236",snow
Wednesday,4,11/26/2014,"4,314","2,919",rain
Thursday,5,11/27/2014,"3,663","2,476",snow
Friday,6,11/28/2014,"3,270","2,268",rain
Saturday,7,11/29/2014,"2,905","1,976",snow
Sunday,1,11/30/2014,"4,016","2,832",rain
Monday,2,12/1/2014,"5,266","3,877",rain
Tuesday,3,12/2/2014,"5,795","4,274",rain
Wednesday,4,12/3/2014,"5,728","4,217",rain
Thursday,5,12/4/2014,"5,293","3,830",rain
Friday,6,12/5/2014,"3,934","2,856",sun
Saturday,7,12/6/2014,"3,071","2,165",sun
Sunday,1,12/7/2014,"3,876","2,984",rain
Monday,2,12/8/2014,"5,878","4,375",drizzle
Tuesday,3,12/9/2014,"5,712","4,187",rain
Wednesday,4,12/10/2014,"5,491","4,074",rain
Thursday,5,12/11/2014,"5,144","3,801",rain
Friday,6,12/12/2014,"3,880","2,860",rain
Saturday,7,12/13/2014,"2,605","1,838",rain
Sunday,1,12/14/2014,"3,625","2,650",rain
Monday,2,12/15/2014,"4,685","3,478",sun
Tuesday,3,12/16/2014,"4,891","3,338",rain
Wednesday,4,12/17/2014,"4,222","3,053",sun
Thursday,5,12/18/2014,"3,691","2,690",snow
Friday,6,12/19/2014,"2,748","1,879",rain
Saturday,7,12/20/2014,"1,380","1,011",sun
Sunday,1,12/21/2014,"1,474","1,054",sun
Monday,2,12/22/2014,"2,452","1,715",sun
Tuesday,3,12/23/2014,"2,298","1,440",rain
Wednesday,4,12/24/2014,"1,430",947,rain
Thursday,5,12/25/2014,"1,002",667,rain
Friday,6,12/26/2014,"1,486","1,005",drizzle
Saturday,7,12/27/2014,"1,345",941,sun
Sunday,1,12/28/2014,"1,453",948,rain
Monday,2,12/29/2014,"2,173","1,472",rain
Tuesday,3,12/30/2014,"2,208","1,424",rain
Wednesday,4,12/31/2014,"1,381",955,rain
Thursday,5,1/1/2015,"1,265",876,rain
Friday,6,1/2/2015,"1,948","1,288",rain
Saturday,7,1/3/2015,"1,742","1,096",sun
Sunday,1,1/4/2015,"1,896","1,409",rain
Monday,2,1/5/2015,"3,033","2,062",sun
