"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=1",260.673315976409,275.333727911963,258.569983068435,287.890806939544,273.038859549133,321.208784480241,3,2
"iRep=2",263.555659376942,278.216071312496,272.9468291773,302.26765304841,281.092368016768,329.262292947876,2,2
"iRep=3",254.120729647754,268.781141583308,260.496575718076,289.817399589185,270.803559785118,318.973484716226,2,2
"iRep=4",268.699343936238,283.359755871793,278.826546666705,308.147370537815,283.282211601854,331.452136532962,2,2
"iRep=5",264.76447411232,279.424886047875,269.238558473529,298.559382344638,275.131337135735,323.301262066843,2,2
"iRep=6",264.971967088833,279.632379024388,272.502058043895,301.822881915005,285.923211192805,334.093136123914,2,2
"iRep=7",244.285318491339,258.945730426894,250.925337223125,280.246161094234,263.755987255449,311.925912186558,2,2
"iRep=8",285.482895218119,300.143307153673,286.244770091842,315.565593962952,295.86202046777,344.031945398878,2,2
"iRep=9",276.502290058782,291.162701994337,283.515572146273,312.836396017382,279.092982210328,327.262907141436,2,2
"iRep=10",253.485574469006,268.145986404561,263.934457626632,293.255281497741,269.665370885135,317.835295816243,2,2
"iRep=11",249.607162989466,264.26757492502,258.157617038836,287.478440909946,258.903396330581,307.073321261689,2,2
"iRep=12",256.818794747643,271.479206683198,263.148867540693,292.469691411803,261.39687505876,309.566799989868,2,2
"iRep=13",259.596152992003,274.256564927558,264.60993881467,293.930762685779,275.523841214881,323.693766145989,2,2
"iRep=14",267.50892584448,282.169337780035,271.152266425367,300.473090296476,265.905729209924,314.075654141032,4,2
"iRep=15",270.287146672915,284.94755860847,277.20879902803,306.529622899139,283.273127984185,331.443052915293,2,2
"iRep=16",235.383754222153,250.044166157707,245.765199722705,275.086023593814,257.889509631161,306.05943456227,2,2
"iRep=17",269.159252413568,283.819664349123,274.366296945991,303.6871208171,283.708695039508,331.878619970617,2,2
"iRep=18",269.928730687505,284.58914262306,276.387088043686,305.707911914796,285.049139536115,333.219064467224,2,2
"iRep=19",260.716329619171,275.376741554726,269.157731289922,298.478555161032,270.323244857497,318.493169788606,2,2
"iRep=20",261.859858458838,276.520270394392,270.55057725826,299.871401129369,277.045713301474,325.215638232582,2,2
"iRep=21",266.098290619463,280.758702555017,277.593304175586,306.914128046696,284.501506066009,332.671430997117,2,2
"iRep=22",261.416691263606,276.07710319916,270.802713108557,300.123536979666,281.123425243559,329.293350174667,2,2
"iRep=23",275.642033857609,290.302445793163,282.293196968225,311.614020839334,282.856633121224,331.026558052332,2,2
"iRep=24",271.089236112081,285.749648047636,280.006291372897,309.327115244006,287.932164053457,336.102088984565,2,2
"iRep=25",270.845041908418,285.505453843972,276.31126717174,305.632091042849,285.458967591897,333.628892523006,2,2
"iRep=26",278.193932088961,292.854344024515,285.545027225298,314.865851096407,295.698260940129,343.868185871238,2,2
"iRep=27",267.696552671377,282.356964606932,271.870434241298,301.191258112408,280.472537632917,328.642462564025,2,2
"iRep=28",257.017428651885,271.67784058744,265.408920449064,294.729744320174,268.127731166303,316.297656097412,2,2
"iRep=29",254.012969246922,268.673381182476,257.0157537628,286.336577633909,250.518026906334,298.687951837442,4,2
"iRep=30",267.94953402564,282.609945961195,275.573282127101,304.894105998211,280.355114821279,328.525039752388,2,2
"iRep=31",276.963382787253,291.623794722808,271.898599896012,301.219423767121,284.758233535246,332.928158466354,3,2
"iRep=32",276.968540933425,291.62895286898,281.24209498566,310.562918856769,293.537148869214,341.707073800323,2,2
"iRep=33",271.50828094727,286.168692882825,280.921127187381,310.24195105849,292.353193239376,340.523118170484,2,2
"iRep=34",272.310340629368,286.970752564923,280.894905052944,310.215728924054,283.977180761597,332.147105692705,2,2
"iRep=36",277.918620613174,292.579032548728,286.855244847927,316.176068719036,296.646714052841,344.816638983949,2,2
"iRep=37",253.001787278416,267.662199213971,255.840031425365,285.160855296474,265.741181852156,313.911106783264,2,2
"iRep=38",258.797651919733,273.458063855288,249.871801559494,279.192625430603,282.597662093003,330.767587024111,3,2
"iRep=39",267.623417944444,282.283829879999,272.065816592243,301.386640463352,272.233181622473,320.403106553581,2,2
"iRep=40",262.240213837241,276.900625772796,265.646534901903,294.967358773012,276.049205833825,324.219130764933,2,2
"iRep=41",259.161123105912,273.821535041467,273.212681965527,302.533505836637,266.301028579414,314.470953510522,2,2
"iRep=42",278.102628216856,292.763040152411,281.271213947916,310.592037819025,291.317517372384,339.487442303492,2,2
"iRep=43",264.22724624349,278.887658179045,274.034343957819,303.355167828929,281.063567352157,329.233492283265,2,2
"iRep=44",249.752508333343,264.412920268898,253.786789660019,283.107613531129,264.189897877014,312.359822808122,2,2
"iRep=45",254.680032582659,269.340444518214,263.004311555217,292.325135426327,278.033313882752,326.20323881386,2,2
"iRep=46",262.881817592401,277.542229527956,273.812244468212,303.133068339321,263.461225470831,311.63115040194,2,2
"iRep=47",261.62434576715,276.284757702705,268.391077823225,297.711901694334,273.38738986932,321.557314800428,2,2
"iRep=48",263.521540553271,278.181952488825,272.729762837818,302.050586708928,268.918320250742,317.08824518185,2,2
"iRep=49",254.784044937351,269.444456872905,260.832574131295,290.153398002405,263.030539662543,311.200464593652,2,2
"iRep=50",259.951750012035,274.61216194759,262.048724809137,291.369548680246,260.031000553357,308.200925484466,2,2
"iRep=51",267.081419295774,281.741831231329,272.411762070518,301.732585941628,275.187597273729,323.357522204838,2,2
"iRep=52",275.311449698006,289.97186163356,284.161057165553,313.481881036662,292.360902551571,340.530827482679,2,2
"iRep=53",261.838849244656,276.49926118021,266.843867685563,296.164691556673,275.106796979852,323.27672191096,2,2
"iRep=54",257.09171105687,271.752122992425,266.549147524521,295.86997139563,262.111919850013,310.281844781122,2,2
"iRep=55",265.270361206308,279.930773141863,269.452103335936,298.772927207046,280.590232230021,328.760157161129,2,2
"iRep=56",263.048029381032,277.708441316587,268.3118849928,297.632708863909,281.424058843759,329.593983774867,2,2
"iRep=57",274.884603312961,289.545015248516,287.080859158956,316.401683030065,297.714740098508,345.884665029617,2,2
"iRep=58",279.058461541313,293.718873476868,283.669000764339,312.989824635448,292.390465075087,340.560390006195,2,2
"iRep=59",261.187181427357,275.847593362912,272.128415994559,301.449239865669,277.476658801537,325.646583732646,2,2
"iRep=60",271.181027581971,285.841439517526,271.522784209408,300.843608080517,288.275715080046,336.445640011155,2,2
"iRep=61",279.980420558669,294.640832494224,290.684423110262,320.005246981371,288.532265391712,336.70219032282,2,2
"iRep=62",275.281214636332,289.941626571887,280.990797374111,310.31162124522,292.799094408179,340.969019339287,2,2
"iRep=63",250.543500375476,265.20391231103,259.725613841603,289.046437712713,266.033815884518,314.203740815627,2,2
"iRep=64",252.501233686116,267.16164562167,252.672444791252,281.993268662361,262.837518893613,311.007443824721,2,2
"iRep=65",248.739075041522,263.399486977077,254.341752513788,283.662576384898,257.860564110058,306.030489041166,2,2
"iRep=66",245.600510185558,260.260922121113,251.138005364761,280.45882923587,266.371848630893,314.541773562002,2,2
"iRep=67",274.393096284587,289.053508220142,279.671256883527,308.992080754636,288.376335904229,336.546260835338,2,2
"iRep=68",265.318683568872,279.979095504427,272.321854145705,301.642678016815,286.489322708999,334.659247640107,2,2
"iRep=69",256.772765058269,271.433176993824,254.474598828179,283.795422699288,254.984956832838,303.154881763946,3,2
"iRep=70",269.412867916595,284.07327985215,275.346028592664,304.666852463774,280.762925758218,328.932850689326,2,2
"iRep=71",257.6122555281,272.272667463655,260.609171301504,289.929995172614,268.359033256967,316.528958188075,2,2
"iRep=72",276.963976832018,291.624388767572,287.629743277114,316.950567148224,297.679703944934,345.849628876043,2,2
"iRep=73",274.832263712385,289.49267564794,281.308952989345,310.629776860454,288.164856291123,336.334781222231,2,2
"iRep=74",261.007163389664,275.667575325218,269.88347512679,299.2042989979,274.081205177139,322.251130108247,2,2
"iRep=75",268.576736264915,283.23714820047,272.563011934377,301.883835805486,285.186921149704,333.356846080812,2,2
"iRep=76",268.845164374652,283.505576310206,275.515948513781,304.836772384891,285.250023784923,333.419948716031,2,2
"iRep=77",273.603853500155,288.26426543571,260.712616583054,290.033440454164,275.67623504781,323.846159978918,3,2
"iRep=78",281.406264955779,296.066676891334,290.046044523935,319.366868395044,301.692033131714,349.861958062823,2,2
"iRep=79",288.392826418168,303.053238353722,298.589499728194,327.910323599303,302.158030917401,350.327955848509,2,2
"iRep=80",273.659972904597,288.320384840152,278.471079554015,307.791903425125,287.552338176574,335.722263107683,2,2
"iRep=81",275.722177647901,290.382589583455,280.051415654327,309.372239525437,290.748987153256,338.918912084364,2,2
"iRep=82",262.746110275183,277.406522210738,266.374510940986,295.695334812095,275.62571272816,323.795637659268,2,2
"iRep=83",269.01356055739,283.673972492945,278.016030245779,307.336854116888,286.70729732728,334.877222258388,2,2
"iRep=84",272.080295059944,286.740706995498,279.723598709142,309.044422580251,286.10121068283,334.271135613938,2,2
"iRep=85",270.604069837153,285.264481772707,278.266380191064,307.587204062173,276.965716575351,325.13564150646,2,2
"iRep=86",252.406693010637,267.067104946192,259.346376047424,288.667199918533,255.959965950603,304.129890881711,2,2
"iRep=87",276.537235476886,291.197647412441,284.401019421808,313.721843292917,286.339168255191,334.509093186299,2,2
"iRep=88",252.93244625449,267.592858190045,253.558858238851,282.87968210996,264.032071858243,312.201996789351,2,2
"iRep=89",264.328606437701,278.989018373255,275.233683540255,304.554507411364,283.454952520729,331.624877451838,2,2
"iRep=90",270.816374670597,285.476786606152,276.203530211938,305.524354083047,286.619288052091,334.789212983199,2,2
"iRep=91",267.805656106148,282.466068041703,276.481480947848,305.802304818958,288.922617198877,337.092542129985,2,2
"iRep=92",269.220956348807,283.881368284362,272.11260763387,301.43343150498,281.781185337815,329.951110268923,2,2
"iRep=93",256.68639088426,271.346802819815,263.164372811688,292.485196682798,272.054003296528,320.223928227637,2,2
"iRep=94",266.656021920811,281.316433856366,270.898277666412,300.219101537522,262.660835609233,310.830760540341,4,2
"iRep=95",279.318277770711,293.978689706266,290.81534986029,320.136173731399,299.254019647904,347.423944579013,2,2
"iRep=96",259.821092066011,274.481504001566,261.384805819839,290.705629690948,273.394267536127,321.564192467236,2,2
"iRep=97",264.919608218491,279.580020154045,274.611577487811,303.93240135892,286.505498014854,334.675422945963,2,2
"iRep=98",277.232006231502,291.892418167057,286.213112128739,315.533935999848,289.069104261203,337.239029192312,2,2
"iRep=99",282.517837793522,297.178249729077,290.299257097734,319.620080968844,295.796196241182,343.96612117229,2,2
"iRep=100",244.829410878578,259.489822814132,252.804970087579,282.125793958688,256.369872387538,304.539797318646,2,2
"iRep=101",263.938832537363,278.599244472918,265.310179531357,294.631003402466,274.004143227412,322.17406815852,2,2
"iRep=102",270.855842666997,285.516254602552,280.765614271667,310.086438142776,285.335903352568,333.505828283676,2,2
"iRep=103",254.568628148176,269.229040083731,263.509673028864,292.830496899973,267.512051655799,315.681976586908,2,2
"iRep=104",272.332832073768,286.993244009322,270.956445067848,300.277268938958,276.482022523222,324.651947454331,3,2
"iRep=105",269.314534950449,283.974946886004,269.787900667455,299.108724538564,283.323202052438,331.493126983547,2,2
"iRep=106",259.086067508146,273.746479443701,260.425967929531,289.74679180064,264.809394154267,312.979319085375,2,2
"iRep=107",270.000273604514,284.660685540069,277.668870680504,306.989694551614,274.947003389279,323.116928320387,2,2
"iRep=108",272.219839355563,286.880251291118,280.628194855829,309.949018726938,288.620778833306,336.790703764414,2,2
