"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=1",272.065518348041,286.725930283596,281.294870308156,310.615694179265,284.710208775375,332.880133706483,2,2
"iRep=2",260.359503208935,275.01991514449,264.326333784779,293.647157655888,279.875470531165,328.045395462273,2,2
"iRep=3",246.641332547035,261.30174448259,250.483275422473,279.804099293583,260.563741911415,308.733666842523,2,2
"iRep=4",272.079643320118,286.740055255673,276.101574358591,305.422398229701,273.282967377468,321.452892308576,2,2
"iRep=5",272.384844016216,287.045255951771,280.967876554938,310.288700426047,286.958299842222,335.128224773331,2,2
"iRep=6",276.432035870216,291.09244780577,281.467876546025,310.788700417135,280.776792998872,328.94671792998,2,2
"iRep=7",258.393953599244,273.054365534798,258.071341529676,287.392165400786,271.061325934373,319.231250865482,3,2
"iRep=8",267.259753768438,281.920165703992,277.122264116669,306.443087987778,288.557908980639,336.727833911747,2,2
"iRep=9",271.754386489678,286.414798425232,275.9170494554,305.237873326509,275.675762386104,323.845687317212,2,2
"iRep=10",254.28182449325,268.942236428805,252.798743782513,282.119567653622,256.951437988067,305.121362919175,3,2
"iRep=11",259.343685586525,274.00409752208,265.772766943696,295.093590814806,276.600660040862,324.77058497197,2,2
"iRep=12",256.826428653049,271.486840588604,266.649245057033,295.970068928142,266.968583261067,315.138508192175,2,2
"iRep=13",267.566190736585,282.22660267214,279.092672971547,308.413496842656,281.912919793538,330.082844724646,2,2
"iRep=14",269.103046513154,283.763458448709,274.598076545395,303.918900416504,287.228273808557,335.398198739665,2,2
"iRep=15",261.725009823926,276.385421759481,270.653093626156,299.973917497265,278.036182376074,326.206107307182,2,2
"iRep=16",268.616142137876,283.276554073431,276.264321959893,305.585145831002,272.203598490679,320.373523421788,2,2
"iRep=17",262.016072508561,276.676484444116,270.613118333059,299.933942204168,281.344862862223,329.514787793332,2,2
"iRep=18",251.886469198685,266.54688113424,261.26653059589,290.587354466999,263.527128761727,311.697053692835,2,2
"iRep=19",256.01114991244,270.671561847995,264.424142309995,293.744966181104,273.352558558555,321.522483489664,2,2
"iRep=20",264.554715687398,279.215127622953,274.016604512368,303.337428383477,283.842652900249,332.012577831358,2,2
"iRep=21",256.267329237354,270.927741172909,264.970058993654,294.290882864763,274.552668076169,322.722593007277,2,2
"iRep=22",261.854783294092,276.515195229646,275.782286974152,305.103110845262,284.87295230881,333.042877239918,2,2
"iRep=23",242.435001929321,257.095413864875,243.581071853817,272.901895724927,251.585290124824,299.755215055932,2,2
"iRep=24",265.632571194783,280.292983130338,263.845988646577,293.166812517686,271.83487548835,320.004800419458,3,2
"iRep=25",257.083408502468,271.743820438023,261.951938251398,291.272762122507,273.789614180599,321.959539111707,2,2
"iRep=26",258.589726536778,273.250138472332,268.486944917383,297.807768788493,278.879258578182,327.04918350929,2,2
"iRep=27",283.947482839452,298.607894775006,291.840395541679,321.161219412788,298.687237786784,346.857162717892,2,2
"iRep=28",268.925768226387,283.586180161941,284.172471238807,313.493295109916,286.999963906984,335.169888838092,2,2
"iRep=29",240.992541836066,255.652953771621,245.356557726723,274.677381597832,254.470359948505,302.640284879613,2,2
"iRep=30",273.607897119869,288.268309055424,275.797221117621,305.11804498873,284.588147993143,332.758072924252,2,2
"iRep=31",279.00435004514,293.664761980695,289.202868086575,318.523691957684,300.916366738612,349.08629166972,2,2
"iRep=32",274.664303005242,289.324714940797,281.499206743247,310.820030614356,289.31221709146,337.482142022568,2,2
"iRep=33",267.545811146287,282.206223081841,272.816933599411,302.13775747052,281.627056589783,329.796981520891,2,2
