"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=1",218.193034647208,228.664757458319,226.006470206415,249.044260390858,237.31830541111,277.11085209333,2,2
"iRep=2",208.336370583909,218.80809339502,211.687939811023,234.725729995466,231.595555021619,271.388101703839,2,2
"iRep=3",216.333572856757,226.805295667868,224.172735646802,247.210525831245,238.857850354315,278.650397036535,2,2
"iRep=4",221.108511967971,231.580234779082,230.363616775551,253.401406959994,243.381570605362,283.174117287582,2,2
"iRep=5",231.254743147906,241.726465959016,242.112552414935,265.150342599378,252.358530174756,292.151076856976,2,2
"iRep=6",230.401589638349,240.873312449459,240.287309211724,263.325099396167,247.358226224242,287.150772906462,2,2
"iRep=7",188.89355937168,199.36528218279,199.836154798828,222.873944983271,215.513035512044,255.305582194264,2,2
"iRep=8",219.135066168528,229.606788979638,229.667834571077,252.70562475552,246.003263068657,285.795809750877,2,2
"iRep=9",236.934612053349,247.406334864459,242.51541920107,265.553209385513,254.453964131028,294.246510813248,2,2
"iRep=10",208.880973459918,219.352696271029,220.617522687244,243.655312871687,235.248773375385,275.041320057605,2,2
"iRep=11",197.376677624318,207.848400435428,202.884723977284,225.922514161727,219.54004039839,259.33258708061,2,2
"iRep=12",202.609549931819,213.081272742929,214.613752950069,237.651543134512,227.731032372769,267.523579054989,2,2
"iRep=13",223.076056834124,233.547779645234,230.809274068814,253.847064253257,242.109828484257,281.902375166477,2,2
"iRep=14",215.873055265159,226.34477807627,226.807030249925,249.844820434368,240.69541602651,280.48796270873,2,2
"iRep=15",229.04845479644,239.520177607551,238.328309452814,261.366099637257,255.50916699366,295.30171367588,2,2
"iRep=16",217.448397289531,227.920120100641,225.627319014552,248.665109198995,239.961021450506,279.753568132726,2,2
"iRep=17",207.758093612863,218.229816423973,218.281003028959,241.318793213402,225.557619361186,265.350166043406,2,2
"iRep=18",224.908064243546,235.379787054656,234.960310240949,257.998100425392,248.313116211938,288.105662894158,2,2
"iRep=19",226.919222446449,237.390945257559,238.918986219196,261.956776403639,251.521403437154,291.313950119374,2,2
"iRep=20",234.945768747692,245.417491558803,242.77629150323,265.814081687673,253.949423011867,293.741969694087,2,2
"iRep=21",233.161043483792,243.632766294903,237.819927318433,260.857717502876,253.012492128041,292.805038810261,2,2
"iRep=22",197.091550868766,207.563273679877,207.627783735779,230.665573920222,221.903430122022,261.695976804242,2,2
"iRep=23",249.646113934055,260.117836745165,259.432130096754,282.469920281197,269.655588047109,309.448134729329,2,2
"iRep=24",224.216102133626,234.687824944737,234.559581363038,257.597371547482,244.499749602671,284.292296284891,2,2
"iRep=25",193.631756398189,204.1034792093,204.993673400452,228.031463584895,221.249076974994,261.041623657214,2,2
"iRep=26",216.696222646564,227.167945457675,226.805755603933,249.843545788376,240.529789847057,280.322336529277,2,2
"iRep=27",207.376377522217,217.848100333327,217.780341557638,240.818131742081,230.209089101028,270.001635783248,2,2
"iRep=28",232.921694296905,243.393417108015,242.994377228022,266.032167412465,255.49831167989,295.29085836211,2,2
"iRep=29",222.651245529706,233.122968340817,231.685574938266,254.723365122709,244.924150153339,284.716696835559,2,2
"iRep=30",214.758912463647,225.230635274757,226.778105008913,249.815895193356,239.242993394443,279.035540076663,2,2
"iRep=31",216.801999824443,227.273722635554,227.441982390031,250.479772574474,238.651752942788,278.444299625007,2,2
"iRep=32",226.905458893311,237.377181704422,233.126577869128,256.164368053571,247.683022619922,287.475569302142,2,2
"iRep=33",216.74689073094,227.21861354205,223.581779237218,246.619569421661,236.55821246355,276.35075914577,2,2
"iRep=34",231.115213925038,241.586936736149,234.602808920255,257.640599104698,245.041195592048,284.833742274268,2,2
"iRep=35",222.313922798062,232.785645609172,233.370053024641,256.407843209084,235.019591810849,274.812138493069,2,2
"iRep=36",212.500285185506,222.972007996616,222.099280768111,245.137070952554,235.074384170098,274.866930852318,2,2
"iRep=37",224.298627297857,234.770350108967,235.092319232667,258.13010941711,247.73565308773,287.52819976995,2,2
"iRep=38",196.788509313324,207.260232124434,205.697464512089,228.735254696532,217.472396412254,257.264943094473,2,2
"iRep=39",219.479320762083,229.951043573194,229.145057229878,252.182847414321,241.642048133802,281.434594816022,2,2
"iRep=40",206.903845915645,217.375568726755,214.919213689687,237.957003874131,230.080090199808,269.872636882028,2,2
"iRep=41",230.020460796156,240.492183607266,242.009572965492,265.047363149935,252.311731359116,292.104278041336,2,2
"iRep=42",226.722346992098,237.194069803208,235.889281177048,258.927071361491,251.942149776837,291.734696459057,2,2
"iRep=43",203.236237497184,213.707960308294,210.034895354767,233.07268553921,229.640699543118,269.433246225338,2,2
"iRep=44",210.439104457181,220.910827268291,219.239227481274,242.277017665717,232.601432290673,272.393978972893,2,2
"iRep=45",217.574410798792,228.046133609902,224.449240239518,247.487030423961,234.916274020533,274.708820702753,2,2
"iRep=46",203.887768385861,214.359491196972,213.507077626766,236.544867811209,224.728145316052,264.520691998272,2,2
"iRep=47",223.142941790468,233.614664601579,232.48502325479,255.522813439233,248.072461363335,287.865008045555,2,2
"iRep=48",224.766713917235,235.238436728345,233.957878342066,256.995668526509,251.14419903027,290.93674571249,2,2
"iRep=49",228.36139801479,238.8331208259,240.351203412116,263.388993596559,256.303727703516,296.096274385736,2,2
"iRep=50",210.836331025209,221.30805383632,215.332718603266,238.370508787709,227.107024408393,266.899571090613,2,2
"iRep=51",206.810826141094,217.282548952204,216.787816796756,239.825606981199,234.031322905712,273.823869587932,2,2
"iRep=52",231.370351259256,241.842074070366,241.053831866047,264.09162205049,250.250207696821,290.042754379041,2,2
"iRep=53",199.297918241038,209.769641052149,207.681554637157,230.7193448216,221.226235992508,261.018782674728,2,2
"iRep=54",204.261439379662,214.733162190772,213.845817146455,236.883607330898,227.738955380063,267.531502062283,2,2
"iRep=55",226.130972944858,236.602695755969,228.071796202441,251.109586386884,240.815642105956,280.608188788176,2,2
"iRep=56",221.086092488341,231.557815299452,228.757083415562,251.794873600005,243.981256455213,283.773803137433,2,2
"iRep=57",221.916976949055,232.388699760166,227.025951312538,250.063741496981,240.188979503428,279.981526185648,2,2
"iRep=58",223.12461202351,233.596334834621,233.265457355564,256.303247540007,248.562590918694,288.355137600914,2,2
"iRep=59",226.486796704983,236.958519516093,235.528163073431,258.565953257874,249.021952794404,288.814499476624,2,2
"iRep=60",235.111848835689,245.583571646799,243.990541668911,267.028331853354,257.97281788089,297.76536456311,2,2
"iRep=61",210.296833190764,220.768556001875,213.879825746133,236.917615930576,227.466235298976,267.258781981196,2,2
"iRep=62",208.727048061822,219.198770872933,220.807623510196,243.845413694639,234.515718574691,274.308265256911,2,2
"iRep=63",182.430657206826,192.902380017936,190.755043015211,213.792833199655,206.459770815118,246.252317497338,2,2
"iRep=64",231.208144977684,241.679867788795,243.213261441242,266.251051625685,255.051531789324,294.844078471544,2,2
"iRep=65",225.79730140175,236.269024212861,232.889646374945,255.927436559388,245.016608394237,284.809155076457,2,2
"iRep=66",213.327863627769,223.799586438879,222.093246014085,245.131036198528,238.074874595493,277.867421277713,2,2
"iRep=67",212.402351380019,222.87407419113,218.157538580694,241.195328765138,233.309760173905,273.102306856124,2,2
"iRep=68",217.446208581894,227.917931393005,226.749214549243,249.787004733686,241.610769586623,281.403316268843,2,2
"iRep=69",225.337167060712,235.808889871822,232.248753647614,255.286543832057,250.905385839252,290.697932521472,2,2
"iRep=70",226.598377005299,237.070099816409,234.874148089083,257.911938273526,249.175798329982,288.968345012202,2,2
"iRep=71",229.461198148053,239.932920959164,237.307344418407,260.34513460285,252.256090171423,292.048636853643,2,2
"iRep=72",242.122856637667,252.594579448778,250.138355663331,273.176145847774,263.37643292662,303.168979608839,2,2
"iRep=73",226.399424447912,236.871147259023,238.385714809838,261.423504994282,249.172309427094,288.964856109314,2,2
"iRep=74",213.272658741378,223.744381552488,218.599162763344,241.636952947787,227.10593805717,266.89848473939,2,2
"iRep=75",225.245376749957,235.717099561068,232.073666582903,255.111456767346,246.29813002946,286.09067671168,2,2
"iRep=76",229.411243682947,239.882966494058,237.39228308504,260.430073269483,246.694837471432,286.487384153652,2,2
"iRep=77",211.433360495033,221.905083306144,219.65655798678,242.694348171224,233.835442466533,273.627989148753,2,2
"iRep=78",241.942619939292,252.414342750403,248.29049626156,271.328286446003,258.171921371845,297.964468054065,2,2
"iRep=79",224.397517787741,234.869240598852,231.613182982117,254.65097316656,250.486937976193,290.279484658412,2,2
"iRep=80",198.753046591691,209.224769402802,209.929332263231,232.967122447674,221.686395252924,261.478941935144,2,2
"iRep=81",197.446856227062,207.918579038172,207.38574610009,230.423536284533,219.084928393213,258.877475075433,2,2
"iRep=82",209.204157193807,219.675880004918,220.252016512259,243.289806696702,236.226341041275,276.018887723495,2,2
"iRep=83",235.307646144988,245.779368956098,240.405593797288,263.443383981731,251.5930233057,291.38556998792,2,2
"iRep=84",229.994242726145,240.465965537255,238.270692472702,261.308482657145,252.052137105606,291.844683787826,2,2
"iRep=85",244.016439088863,254.488161899973,254.013386161683,277.051176346126,270.037393082957,309.829939765177,2,2
"iRep=86",216.683834682175,227.155557493285,222.646150167389,245.683940351832,237.958713620676,277.751260302896,2,2
"iRep=87",223.719222757474,234.190945568585,234.861418402093,257.899208586536,248.144507668228,287.937054350448,2,2
"iRep=88",224.962422194368,235.434145005479,233.731143617355,256.768933801798,248.267442910269,288.059989592489,2,2
"iRep=89",229.260354406388,239.732077217498,240.326811061636,263.364601246079,251.53347566355,291.32602234577,2,2
"iRep=90",226.18643323655,236.65815604766,235.367888796242,258.405678980685,246.773325596395,286.565872278615,2,2
"iRep=91",191.75682135742,202.228544168531,202.727896768413,225.765686952856,215.511373517854,255.303920200073,2,2
"iRep=92",218.352468518724,228.824191329835,226.408191177986,249.44598136243,242.406579844289,282.199126526509,2,2
"iRep=93",203.102740319051,213.574463130161,214.091891734855,237.129681919298,223.045321877585,262.837868559805,2,2
"iRep=94",215.844748935764,226.316471746874,224.728192816359,247.765983000802,240.05212252762,279.84466920984,2,2
